index,familia,latin name,migrant,portugues,english,iucn,mma,description
277,Thraupidae,Sporophila hypoxantha ,MPR:  ,caboclinho-de-barriga-vermelha,Tawny-bellied Seedeater,,VU," occurs in eastern Bolivia, Paraguay, northeastern Argentina, Uruguay and Brazil (Grantsau, 2010). Four populations were recently identified based on vocalizations (dialects): two of them are resident, one is partially migratory, and another completely migratory. It moves between Corrientes and Entre R�os in Argentina and southern Brazil, where it breeds from mid-October/November to March/April (Areta & Repenning, 2011). The movement pattern of this species in Brazil is not fully understood, but it is known that populations move to the north and center of its distribution (SP, MG, GO, MT and MS) after the breeding season, where they join other Sporophila species (Machado, 2009). This species has been observed in interspecific flocks together with their Amazonian and Central Brazilian congeners (Sick, 1997), and composing mixed flocks � mainly represented by Sporophila bouvreuil � foraging in pastures in the Araguaia River basin in southeastern PA in mid-September 2009, 2010 and 2013 (Cavarzere et al., 2015). The most northern limit of its wintering grounds is southeastern PA (Somenzari et al., 2011) and TO (Dornas et al., 2013). In PR, it performs migratory movements and there are more individuals during spring and summer, even though there are other resident individuals all year round in this state (Straube et al., 2004), as well as breeding populations. Banding data shows the species in SC from November to March, and in RS in December and January (SNA, 2016), but there is also evidence of breeding activity in April and November (Belton, 1985)."
278,Thraupidae,Sporophila ruficollis ,MPR:  ,caboclinho-de-papo-escuro,Dark-throated Seedeater,NT,VU," occurs in northern and eastern Bolivia, western and central Paraguay, northern Argentina, northern and western Uruguay and Brazil (Jaramillo, 2011b). It arrives on the breeding site in late November and remains there until December; a large part of the population overwinters in the Cerrado in MT and in other hotter, more humid regions on the continent (Jaramillo, 2011b; Azpiroz et al., 2012). In Brazil, it breeds only in a restricted area on the western border of RS (FZBRS, 2013). It has been observed in interspecific flocks together with their Amazonian and Central Brazilian congeners (Sick, 1997) and composing mixed flocks � mainly represented by Sporophila bouvreuil � foraging in pastures in the Araguaia River basin in southeastern PA in mid-September 2009, 2010 and 2013 (Cavarzere et al., 2015). For southeastern PA and southern TO, there are also records in July, August and September (Somenzari et al., 2011; Dornas et al., 2013; MZUSP). Photographic records show a sparse presence of this species for AM, RO, MT, MS, GO, ES, SP, PR and RS between August and April (WikiAves, 2016; MZUSP; MPEG), and also an influx of individuals that come from outside Brazil in the winter (FZBRS, 2013). Records for AM in September and November contradict the migratory pattern described in the literature, since the species is expected to be restricted to its breeding area (RS) during this time, which allows us to assume the existence of a resident population for this species. Because of this, further studies are necessary to unveil its movements and properly delimit its breeding grounds."
281,Cardinalidae,,MPR:  ,,,,,
282,Cardinalidae,Cyanoloxia glaucocaerulea ,MPR:  ,azulinho,Glaucous-blue Grosbeak,,," breeds south of the Tropic of Capricorn in the South and Southeast regions of Brazil, northeastern Argentina, and northern, eastern and western Uruguay (Brewer, 2011), and migrates north during winter (Chesser, 1994). In Brazil, it occurs in MS and from SP to RS (Grantsau, 2010). In SC, PR and RS, it is present all year round, but in MT (Pelzeln, 1870), MS, MG (Sick, 1997; MZUSP), GO, ES (WikiAves, 2016) and RJ (Mallet-Rodrigues, 2003), records are restricted to the winter between May and October. In SP, although there are records in February, April and November, most records are centered in the winter (WikiAves, 2016), which confirms its migratory pattern."
401,Phoenicopteridae,, ND: ,,,,,
402,Phoenicopteridae,Phoenicopterus ruber, ND: ,flamingo,American Flamingo,,,"occurs in the Caribbean, Gal�pagos and northern South America (del Hoyo, 1992). Despite historic reports of breeding colonies on Maraj� Island/Par� (PA) and Lago Piratuba/southern Amap� (AP) (Sick, 1969), there are no current records of it breeding in the country (Nascimento et al., 1992). In the area between the lighthouse at Cape Orange and the mouth of the Oyapock River, groups of 600 and 350 individuals have been recorded respectively in November 1991 and May 1992 (Nascimento et al., 1992). In the same region, around 90 individuals have been recorded in April 2014 and another small group in February 2015 (WikiAves, 2016). One adult has also been recorded in Galinhos/Rio Grande do Norte (RN) between January and March 2001 (Azevedo-J�nior et al., 2004) and one specimen collected in Cear� (CE) (Oren, 1991). Museum records are restricted to AP in August and in PA in February and December (MPEG). This suggests that its occurrence in Brazil is due to irregular movements that originate in the north of the distribution of the species and that further studies are necessary to confirm its migratory pattern."
403,Rallidae,, ND: ,,,,,
404,Rallidae,Porphyrio flavirostris, ND: ,frango-d'�gua-pequeno,Azure Gallinule,,,"occurs from eastern Colombia through southern central Venezuela to the Guianas, south as far as eastern Ecuador, northern and southeastern Peru, northern Bolivia, and central Paraguay to extreme northern Argentina, and there are also sparse records in the entire Brazil (Taylor, 1996). Its occurrence is highly seasonal in parts of its distribution and it seems to coincide with the flood season: in southwestern Amazon and Paraguay, it occurs mainly between October and January; in eastern Amazon, between February and August; in western Amazon, records peak in January; and in the Upper Amazon, it is present only between January and July. It is consideredVAGrant in southern Brazil (Remsen Jr. & Parker III, 1990; Taylor, 1996; Dias et al., 2010b). Photographic records do not corroborate the pattern described in the literature. The occurrence of this species in the South region is restricted to sporadic records for all three states (Dias et al., 2010b; Meyer, 2015). More data is necessary to classify this species as migratory. Individuals collected in Fazenda Fartura in Santana do Araguaia/PA had developed gonads, which indicates that the species breeds in Brazil (L.F. Silveira, pers. obs.). Museum collection data are restricted to MT in May and in PA in March, April, August, November and December (MPEG)."
405,Cuculidae,, ND: ,,,,,
406,Cuculidae,Coccyzus erythropthalmus, ND: ,papa-lagarta-de-bico-preto,Black-billed Cuckoo,,,"breeds in Canada and the USA; overwinters in northwestern and central western South America (Payne, 1997). In Brazil, it was recorded only in western Acre (AC) in February (Whittaker & Oren, 1999, MPEG 48047 [AC, 1992, Feb]) and in AP in November (Xavier & Boss, 2011), which suggests that the country could be a wintering area. However, its occurrence may be incidental and further studies are necessary to classify it as migratory."
